Metric (in PKR Millions),2021,2022,2023,2024,2025
Total Assets,"7,664.45","8,554.75","10,185.56","14,080.39","16,293.51"
Total Liabilities,"3,856.52","4,720.55","5,086.38","7,800.85","9,471.45"
Total Equity,"3,807.92","3,834.20","5,099.18","6,279.54","6,822.06"
Total Shares Outstanding (Millions),7.77,7.77,7.77,7.77,7.77
EBIT (Operating Profit),356.42,469.84,"1,569.60","3,012.76","1,772.26"
EBT (Profit Before Tax),175.82,209.89,"1,152.37","2,154.48","1,041.20"
Net Income,0.08,28.8,754.5,"1,254.58",614.37
Operating Cash Flow,139.16,-685.13,"2,860.33","-1,439.82","-1,752.58"
EPS (PKR),-0.01,3.71,97.12,161.49,79.08
