Metric (in PKR Millions),2021,2022,2023,2024,2025
Total Assets,"8,404.05","9,112.44","6,844.62","6,637.99","6,337.59"
Total Liabilities,"4,337.06","5,151.44","4,678.68","4,185.06","3,808.70"
Total Equity,"4,066.98","3,961.01","2,165.94","2,452.93","2,528.89"
Total Shares Outstanding (Millions),251.25,251.25,251.25,251.25,251.25
EBIT (Operating Profit),266.22,678.81,-867.66,"1,312.76","1,067.07"
EBT (Profit Before Tax),90.3,155.8,"-1,714.89",544.87,584.46
Net Income,-3.56,-86.26,"-1,798.36",287.26,81.86
Operating Cash Flow,-329.03,-313.06,594.62,-320.27,675.83
EPS (PKR),0.29,0.005,-5.23,2.65,1.05
