Metric (in PKR Millions),2021,2022,2023,2024,2025
Total Assets,"9,879.68","10,797.86","19,910.32","23,318.27","18,908.85"
Total Liabilities,"4,270.60","4,603.98","12,657.98","14,799.11","11,007.53"
Total Equity,"5,609.09","6,193.88","7,252.34","8,519.17","7,901.32"
Total Shares Outstanding (Millions),24.36,28.01,35.02,35.02,35.02
EBIT (Operating Profit),"1,333.46","1,527.10","4,250.18","3,789.72","1,813.60"
EBT (Profit Before Tax),"1,195.04","1,137.66","3,687.82","2,155.24",345.92
Net Income,895.97,689.44,"2,201.24","1,343.65",91.21
Operating Cash Flow,-452.66,"1,777.56","-2,159.67","-2,856.77","5,377.08"
EPS (PKR),31.98,24.61,62.86,38.37,2.6
