Metric (in PKR Millions),2021,2022,2023,2024,2025
Total Assets,"14,023.00","16,053.96","18,274.51","18,848.11","21,426.08"
Total Liabilities,"10,507.39","12,209.42","12,520.63","12,852.80","14,688.35"
Total Equity,"3,515.62","3,844.53","5,753.88","5,995.31","6,737.73"
Total Shares Outstanding (Millions),121.93,121.93,121.93,121.93,121.93
EBIT (Operating Profit),"1,295.35","1,365.14","1,099.20","2,174.89","1,184.55"
EBT (Profit Before Tax),797.47,623.83,-379.75,419.68,-345.98
Net Income,572.66,356.07,-167.36,229.06,-366.08
Operating Cash Flow,-244.12,603.39,728.4,89.14,"-1,342.09"
EPS (PKR),4.7,2.92,-1.37,1.88,-3
