Metric (in PKR Millions),2021,2022,2023,2024,2025
Total Assets,"7,088.97","9,526.11","9,129.51","8,585.27","9,654.58"
Total Liabilities,"1,317.96","3,191.08","2,967.76","2,771.03","3,602.01"
Total Equity,"5,771.00","6,335.03","6,161.75","5,814.24","6,052.57"
Total Shares Outstanding (Millions),28.8,28.8,36,36,36
EBIT (Operating Profit),"1,313.39","1,458.41",91.08,-141.35,567.47
EBT (Profit Before Tax),"1,203.27","1,104.64",-195.12,-421.21,206.24
Net Income,829.66,736.82,-173.28,-347.5,238.32
Operating Cash Flow,347.78,-403.24,"2,011.57",412.45,-8.1
EPS (PKR),28.81,25.58,-4.81,-9.65,6.62
